date,theme,tag,title,source,url,impact_direction,notes
2016-06-16,Regulation,REG,A research roadmap for sustainable land management,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/32210/en,+,"The EU-funded project INSPIRATION aims to develop a European research roadmap on sustainable land management practices. The agenda would help focus Europe's research, supporting policymaking on environmentally friendly, socially acceptable and economically affordable soil and land use management."
2016-07-19,Regulation,REG,Final paper on a strategic approach to EU agricultural research and innovation,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/33294/en,+,"Developing a long-term research and innovation strategy to address the challenges facing agriculture, rural communites and society at large began in June 2015 at the Milan Expo. Now the process has ended and the final paper is available to download."
2016-07-25,Regulation,REG,Commission to invest €8.5 billion in research and innovation in 2017,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/33370/en,+,"Today, the European Commission announced an investment of €8.5 billion to be released during 2017 into research and innovation, following an update to the Work Programme of Horizon 2020, the EU's research and innovation funding programme."
2016-07-28,Climate & Finance,FIN,Horizon 2020: Work Programme update supports competitiveness through open science,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/33447/en,+,"Spanning seven years (2014 to 2020) and working with a budget of €77 billion, Horizon 2020 is the biggest EU research and innovation funding programme ever."
2016-08-11,Regulation,REG,New ways to make stronger crops,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/33690/en,+,EU-funded researchers are investigating novel non-GMO approaches to stepping up stress-resistance in crops. The research could lead to increased yields for farmers and improve Europe's food security.
2016-10-14,Regulation,REG,Digitising the agri-food sector - workshop,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/35613/en,+,"A workshop, Digitising the Agri-Food sector, was held on 28 and 29 September, hosted by Directorate-General for Agriculture and Rural Development."
2016-10-18,Regulation,REG,Commission proposes first research partnership in the Mediterranean to increase food and water sustainability,EC Newsroom — Horizon2020 Environment,http://europa.eu/rapid/press-release_IP-16-3444_en.htm,+,Commission proposed first research partnership of its kind in the Mediterranean Area to develop much-needed novel solutions for sustainable water management and food production.
2016-11-17,Regulation,REG,Addressing the arsenic in Argentinian groundwater,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/37150/en,+,"Many areas worldwide struggle with high levels of arsenic in the water supply. Scientists from Argentina - where several regions are affected - are collaborating with European colleagues to find solutions in the context of an EU-funded project. Together, they intend to develop a low-cost system to produce safe drinking water for people and livestock."
2016-11-25,Regulation,REG,"WORKSHOP ""Sustainability of the EU's Livestock Production Systems""",EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/50399/en,+,"Livestock is increasingly criticized for its environmental impacts. At the same time, it counts for very significant parts of human diets and many livestock production systems deliver valuable socio-economic and positive environmental outcomes. How can livestock systems be geared towards greater sustainability? The question is high on the agenda of both farmers and researchers. EC invited experts to discuss how embedding systems approaches in research could help."
2016-12-02,Regulation,REG,Horizon 2020 Monitoring Report 2015,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/research/evaluations/pdf/archive/h2020_monitoring_reports/second_h2020_annual_monitoring_report.pdf#view=fit&pagemode=none,+,"For Horizon 2020, the Commission has a legal obligation to monitor continually and systematically its implementation, to report annually and to disseminate the results of this monitoring. The second Annual Monitoring Report under Horizon 2020 is a comprehensive publication encompassing the analysis of Horizon 2020 through its calls closed in 2015."
2016-12-20,Regulation,REG,Increase the communication impact of your project - join our 60-minute workout webinar,EC Newsroom — Horizon2020 Environment,http://europa.eu/!yD33Ku,+,"What’s your action plan? If you are planning to run the marathon or just go for a walk, chances are that your approach is completely different.

We want to give you some ideas on how to increase your outreach and learn from successful EU-funded projects."
2016-12-22,Regulation,REG,Switzerland steps up research and innovation cooperation with the EU,EC Newsroom — Horizon2020 Environment,http://ec.europa.eu/research/index.cfm?pg=newsalert&year=2016&na=na-221216,+,"Swiss researchers and organisations will now be able to fully participate in Horizon 2020, the European Union's research and innovation funding programme, on equal terms with entities from EU Member States and other associated countries. This is because on 1 January 2017, Switzerland will become fully associated to Horizon 2020. Until now, Switzerland has only been associated to parts of the programme."
2017-01-06,Regulation,REG,"What do we mean by ""systems approaches"" in agriculture research?",EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/51917/en,+,"Researchers are increasingly encouraged to adopt systems approaches in their work on agriculture, food and non-food value chains. But what do we actually mean by systems approaches? Why do we think systems approaches could deliver better results?"
2017-01-20,Regulation,REG,Workshop: EU-Africa R&I Partnership on Food and Nutrition Security and Sustainable Agriculture – FNSSA,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/52441/en,+,The European and African Unions adopted in April 2016 a roadmap on research and innovation for food and nutrition security and sustainable agriculture (FNSSA). The European Commission invited around 25 African and European experts to discuss the state of play of this cooperation and to further develop the FNSSA priority themes with a view to contribute to Horizon 2020 work programme 2018-2020.
2017-01-23,Regulation,REG,Thematic networks under Horizon 2020,EC Newsroom — Horizon2020 Environment,http://ec.europa.eu/eip/agriculture/en/content/eip-agri-brochure-thematic-networks-under-horizon-2020,+,Thematic networks are a new approach under Horizon 2020 which bring people from both science and practice together to create useful and practical outputs for farmers. The EIP-AGRI has developed a specific brochure on these networks.
2017-01-23,Regulation,REG,"WORKSHOP ""Sustainability of the EU's Livestock Production Systems"", Report now available.",EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/52368/en,+,"The report of the September workshop on the sustainability of the EU's livestock production systems is now available. Livestock is increasingly criticised for its environmental impact. At the same time, it counts for very significant parts of human diet and many livestock production systems deliver valuable socio-economic and positive environmental outcomes. How can livestock systems be geared towards greater sustainability? The question is high on the agenda of both farmers and researchers."
2017-02-14,Regulation,REG,EMPHASIS Webinar: In field molecular diagnostics as an aid to disease management,EC Newsroom — Horizon2020 Environment,https://www.eventbrite.com/e/in-field-molecular-diagnostics-as-an-aid-to-disease-management-tickets-31705750754,+,"Interested in portable molecular diagnostic tools on plant diseases? Register to the webinar organized by the Horizon 2020 project EMPHASIS. First come, first served."
2017-02-14,Regulation,REG,Science day at the World Organic Trade Fair,EC Newsroom — Horizon2020 Environment,http://www.organic-research.net/tipi/tipi-events/science-day-2017.html,+,TP Organics and the Technology Innovation Platform of IFOAM (TIPI) are organizing a science day on the occasion of the World Organic trade fair in Nuremberg. One session will be dedicated to the outlook and developments of the EU agricultural R&amp;I policy.
2017-02-15,Regulation,REG,A new secretariat for the International Research Consortium on Animal Health,EC Newsroom — Horizon2020 Environment,http://animalhealthmedia.com/new-secretariat-international-research-consortium-animal-health/,+,"On 27 January 2016, key representatives of the Animal health community joined in Brussels to launch the International Research Consortium (IRC) on Animal Health. Less than one year later, thanks to Horizon 2020 funding, a new Scientific Secretariat for this IRC is up and running."
2017-03-29,Regulation,REG,Save the Date! Horizon 2020 Interim Evaluation - presentation of the results of the stakeholder consultation,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/56857/en,+,"As part of the interim evaluation of Horizon 2020 the EU Research and Innovation Programme, a public stakeholder consultation was launched on 20 October 2016 and closed on 15 January 2017."
2017-03-30,Regulation,REG,"Which EU-China priorities for food, agriculture and biotechnology R&I?",EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/52407/en,+,"China and the EU cooperate since 2013 on food, agriculture and biotechnology research and innovation. The European Commission invited 60 European and Chinese experts to explore avenues for future collaboration under Horizon 2020. Reports are now available."
2017-03-31,Regulation,REG,Horizon 2020 Societal Challenge 2 Infoweek including high-level policy events,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/56976/en,+,"All there is to know about new funding opportunities for 2018-2020, the Bioeconomy policy, digitisation and Blue Growth!"
2017-04-04,Bioenergy & SAF,BIO,A biomass boost to Europe’s bioeconomy,EC Newsroom — Horizon2020 Environment,http://cordis.europa.eu/article/id/400181-biomass-boost-to-europes-bioeconomy_en.html,+,Eight EU-funded projects lead the way towards novel biomass solutions!
2017-04-06,Regulation,REG,Save the Date! Horizon 2020 Interim Evaluation - presentation of the results of the stakeholder consultation,EC Newsroom — Horizon2020 Energy,http://ec.europa.eu/research/index.cfm?pg=events&eventcode=FD5C6083-DCD5-1A2A-1673912D5E7B796C,+,"As part of the interim evaluation of Horizon 2020 the EU Research and Innovation Programme, a public stakeholder consultation was launched on 20 October 2016 and closed on 15 January 2017. 

The results of around 3500 responses and about 300 position papers will be presented at an event organised in cooperation with the European Economic and Social Committee on 28 April."
2017-04-11,Advanced materials,MAT,Researching renewable building materials for a more sustainable Slovenia,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/57473/en,+,The EU-funded InnoRenew Centre of Excellence (CoE) in Slovenia will foster research on the innovative and efficient use of renewable resources in building materials.
2017-04-11,Regulation,REG,Connecting ICT solutions with sustainable agriculture in Serbia,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/57475/en,+,A new European centre of excellence for the development of advanced technologies in sustainable agriculture and food security will open in Serbia with the aim to boost economic growth in the region.
2017-04-12,Solar (PV/CSP),SOL,Cypriot sunshine for solar thermal energy research,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/57504/en,+,"The NESTER project is twinning the Cyprus Institute and several internationally–leading solar energy research institutions to strengthen solar thermal energy research in Cyprus, Europe and beyond."
2017-04-18,Regulation,REG,EMPHASIS webinar ‘New approaches to managing cabbage stem flea beetle in oilseed rape’,EC Newsroom — Horizon2020 Environment,http://us13.campaign-archive1.com/?u=4e53d3a89f9deed9904ca6447&id=e8d2df510f&e=bcabf50109,+,Cabbage stem flea beetle was an insignificant pest of oilseed rape years ago. The need to ban neonicotenoid seed treatments brings back the threat. This webinar will describe a new approach to fight it using companion crops.
2017-04-20,Solar (PV/CSP),SOL,Harnessing the sun to clean up industrial processes,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/57744/en,+,"The production of cement and lime involves fossil fuels and produces harmful greenhouse gases. Industry could change this, if scientists can develop a technology that can use solar power for high temperature industrial processes. The EU-funded SOLPART project has built lab-scale reactors that use a solar powered process to meet this need."
2017-05-05,Regulation,REG,Making Poland's energy infrastructure more sustainable,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/58999/en,+,The EU-funded SuPREME project will help to promote a conversion to renewable energy systems and resources in Poland by twinning one of the country's best energy research centre with more advanced EU centres of excellence in the field.
2017-05-23,Regulation,REG,Organic innovation days,EC Newsroom — Horizon2020 Environment,http://tporganics.eu/organic-innovation-days/,+,"How do we move organic farming forward to ensure sustainability & health of our food systems? TP organics organises the Organic innovation days, along side the SC2 Infoweek, to discuss how innovation can help. H2020 OK-NetArable will hold their final conference there and opportunities for funding for organic farming under H2020 work programme 2018-2020 will be presented. Call for innovations open until 1 September."
2017-06-01,Regulation,REG,Agri-Innovation summit Lisbon 2017,EC Newsroom — Horizon2020 Environment,http://www.aislisbon2017.com/,+,"The Agri Innovation Summit will provide a platform for a stimulating debate on innovation and digitisation in agriculture and rural areas, now and after 2020. Horizon 2020 projects will meet with innovative projects supported by the Common agricultural policy to build linkages and speed up innovation. Commissioners Moedas and Hogan will participate."
2017-06-07,Regulation,REG,EU-China Summit: new flagship initiatives in research and innovation,EC Newsroom — Horizon2020 Energy,http://ec.europa.eu/research/index.cfm?pg=newsalert&year=2017&na=na-020617,+,"The European Union and China will boost their research and innovation cooperation with a new package of flagship initiatives targeting the areas of Food, Agriculture and Biotechnologies, Environment and Sustainable Urbanisation, Surface Transport, Safer and Greener aviation, and Biotechnologies for Environment and Human Health."
2017-06-13,Regulation,REG,'Electric' bacteria can purify sewage water - fast,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/80344/en,+,"Harnessing bacteria that produce electricity and break down organic waste, a European research project is developing a new, environmentally friendly way to purify sewage water in small communities."
2017-06-20,Regulation,REG,FET-OPEN January 2017 cut-off Evaluation Results: 28 proposals selected for funding,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/digital-single-market/en/news/fet-open-may-2017-cut-evaluation-results-28-proposals-selected-funding,+,A new batch of 28 excellent proposals that aim to explore novel ideas for Future and Emerging Technologies has been invited for grant preparation. The 26 Research and Innovation Actions and 2 Coordination and Support Actions were selected by independent experts in a fierce competition of 374 submitted proposals. The next deadline for submitting a FET-Open proposal is on 27 September 2017.
2017-06-20,Regulation,REG,2016 Workshop on animal genomics: report now available,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/75697/en,+,"Animal breeding has played an important role in increasing the production efficiency of animals. Nonetheless, farmed animal production still faces a number of challenges.

At the end of 2016 a workshop was held to examine the latest developments brought by EU funded projects on the theme to feed into the design of a roadmap for future research.

The report is now available!"
2017-07-03,Regulation,REG,Independent top advisors call for increased EU investment in research and innovation for the sake of Europe's future,EC Newsroom — Horizon2020 Energy,http://ec.europa.eu/research/index.cfm?pg=newsalert&year=2017&na=na-030717&pk_campaign=policy_newsletter,+,"An independent high level group of leading experts chaired by Pascal Lamy, President Emeritus of the Jacques Delors Institute, presented today to the Commission a new report on the future of EU research and innovation."
2017-07-20,Hydrogen (H2),H2,"Hydrogen for Clean Transport Conference,  22 September 2017,  Brussels",EC Newsroom — Horizon2020 Energy,http://www.fch.europa.eu/news/hydrogen-clean-transport,+,"The ""Hydrogen for Clean Transport"" Conference will offer a unique occasion to learn about the main achievements taking place in Europe but also to understand what are the remaining barriers facing the technology deployment.

Two EU-funded projects HyFIVE and H2ME  will be at the core of the conference and seven major vehicle manufacturers (Audi, BMW, Daimler, Honda, Hyundai, Toyota, and Symbio) will be present to confirm their engagement towards continuing with coordinated deployment in Europe"
2017-08-10,Solar (PV/CSP),SOL,New Technological Advances for the Third Generation of Solar Cells,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/127445/en,+,"Achieving energy efficient, cost effective and versatile solar cells has always been a challenge for the scientific community. The emerging perovskite sensitized solar cells (PSCs) are very attractive candidates to fulfil these requirements. Their potential for fast rise in performance attracted intense attention from scientific community and in particular from GOTSolar consortium."
2017-08-16,Regulation,REG,Connected and Automated Transport - Expert Group Report,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/127479/en,+,"A new report on connected and automated transport has been published, outlining the main trends and developments in the field."
2017-09-25,Regulation,REG,"Multi-actor, practice-led innovation improving animal welfare",EC Newsroom — Horizon2020 Environment,https://www.youtube.com/watch?v=mVsW4--ex0M,+,"How can farmer-scientist cooperation deliver useful outcomes which can be quickly put into practice? The first ""multi-actor"" project under Horizon 2020, ""HENNOVATION"" explains how they used the multi-actor approach to improve animal welfare."
2017-09-25,AI & Digital,AI,Digitising agriculture and food value chains,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/572128/en,+,"The digital single market offers many opportunities for agriculture and food value chains -up to the consumer- to become smarter, more efficient, more circular and more connected. This event placed Horizon 2020 investments in farm and food digitisation in their broader policy context and showcased successful and inspirational projects."
2017-09-26,Regulation,REG,Bioeconomy Policy Day,EC Newsroom — Horizon2020 Environment,http://ec.europa.eu/programmes/horizon2020/en/news/bioeconomy-policy-day,+,Looking ahead to a new Bioeconomy strategy.
2017-09-27,Regulation,REG,Horizon 2020 Info Day on Societal Challenge 2 calls for 2018,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/604371/en,+,Come and learn about the novelties of the new Work Programme 2018- 2020 and get some practical information on how to successfully apply to the upcoming calls for proposals.
2017-09-28,Regulation,REG,Horizon 2020 multi-actor projects - EIP-AGRI Brochure,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/eip/agriculture/en/publications/eip-agri-brochure-horizon-2020-multi-actor,+,"Many of the Horizon 2020 calls under societal challenge 2 require projects to apply the “multi-actor approach”. This approach which brings farmers, scientists and other actors together leads to solutions which answer real needs and are more easily applied on the field. This brochure presents the benefits of this approach, some examples of running H2020 projects and explains where to find project results. Inspiration for future calls!"
2017-09-29,Regulation,REG,Blue Growth Research & Innovation,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/604441/en,+,All you need to know about the Blue Growth
2017-09-29,Regulation,REG,Registrations for the Horizon 2020 Societal Challenge 2 Infoweek are now open,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/programmes/horizon2020/en/news/horizon-2020-societal-challenge-2-infoweek-including-high-level-policy-events,+,"Horizon 2020 Societal challenge 2 Infoweek: all there is to know about new funding opportunities, Bioeconomy Policy, Digitisation and Blue Growth."
2017-10-27,Regulation,REG,Work Programme 2018 - 2020,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/programmes/horizon2020/en/what-work-programme,+,...
2017-10-27,Climate & Finance,FIN,Horizon 2020 Work Programme from 2018 to 2020,EC Newsroom — Horizon2020 Energy,http://europa.eu/rapid/press-release_MEMO-17-4123_en.htm,+,"Spanning seven years (2014 - 2020) and with a budget of €77 billion, Horizon 2020 is the biggest EU research and innovation funding programme ever. It is implemented via multi-annual work programmes."
2017-11-21,Nuclear & SMR,NUC,The launch of the 3rd edition of SOFT Innovation Prize under Euratom Work Programme 2018,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/607590/en,+,"Building on the success of SOFT Innovation Prize in 2014 and 2016, the European Commission launches today the third edition of the SOFT Innovation Prize under Euratom Work Programme 2018."
2018-01-11,Regulation,REG,Maximising the impact of EU research and innovation,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/info/news/maximising-impact-eu-research-and-innovation-2018-jan-11_en,+,"Europe must step up investment in research and innovation in order to maximise impact, while also further refining the success story that is Horizon 2020, the EU research and innovation programme. This is one of the key messages from the Communication on the Horizon 2020 interim evaluation that the European Commission presented today. It also calls for a mission-oriented approach, focusing on cracking specific challenges, as a way of boosting the impact of the programme. Other key messages inclu"
2018-02-06,Regulation,REG,New booklet shows how EU research and innovation funding impacts your daily life,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/613800/en,+,The European Commission has published a new booklet showing a few examples where EU support for research and innovation is making a real difference in the lives of citizens and society as a whole. It is aimed at all age groups so everyone can understand the good work EU funding can do.
2018-02-19,Regulation,REG,The role of thematic networks in EU agricultural innovation,EC Newsroom — Horizon2020 Environment,https://mailchi.mp/d2c24ea7853a/invitation-workshop-thematic-networks?e=3f376eeb7d,+,"Over 20 thematic networks are or have been funded under Horizon 2020 to bridge the gap between research and practice in agriculture. They cover a broad range of issues from disease management to value chains and are a cornerstone of the EIP-AGRI. This workshop will give, in a compact and interactive way, insights in dynamics and results of these networks."
2018-02-20,Regulation,REG,Another 27 excellent FET-Open proposals for research on future disruptive technologies invited to Grant Agreement preparation,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/614674/en,+,"Examples of the highly ambitious targets ahead of the successful FET-Open proposals include a super-resolution microscope in a microfluidic chip smaller than a coin, a novel GPS-free positioning technology, the non-invasive imaging of biochemical processes in the human body, and building a 3D muscle on a chip."
2018-02-20,Batteries & Storage,BAT,FET Innovation Launchpad second cut-off: 19 proposals invited to Grant Agreement preparation,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/614461/en,+,"Some examples of the successful proposals are the testing of a drug that inhibits the metabolism of cell lines from several types of tumor, the commercialisation of a new actuator for physical human-robot interaction, the exploitation of an innovative tool to convert inexpensive near-infrared (NIR) light into coherent UVA for industrial and biomedical use."
2018-02-22,Regulation,REG,Commission launches the 2018 European Capital of Innovation contest,EC Newsroom — Horizon2020 Energy,http://ec.europa.eu/info/news/do-you-want-be-next-european-capital-innovation-2018-feb-22_en&pk_campaign=policy_newsletter,+,"Carlos Moedas, Commissioner for Research, Science and Innovation, opened the 2018 European Capital of Innovation contest at the EU Covenant of Mayors Ceremony in the European Parliament. The winning city will be awarded a prize of €1 million to further promote and enhance its innovative actions. Applications can be submitted until 21 June 2018."
2018-02-23,Batteries & Storage,BAT,Commission launches €10 million EIC Horizon Prize for innovative batteries for electric vehicles,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/info/news/commission-launches-eu10-million-eic-horizon-prize-innovative-batteries-electric-vehicles-2018-feb-23_en&pk_campaign=policy_newsletter,+,"The European Commission has launched the fifth of six European Innovation Council (EIC) Horizon Prizes, on Innovative batteries for eVehicles, worth €10 million. The EIC Horizon Prizes are part of the first phase of the EIC under Horizon 2020, the EU's Research and Innovation Framework Programme."
2018-03-05,Regulation,REG,Horizon 2020 Info Day on Societal Challenge 2 calls for proposals of 2019,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/615628/en,+,Come and learn about the Societal Challenge 2 calls 2019 and get some practical information on how to successfully apply to the upcoming calls for proposals.
2018-03-06,Regulation,REG,"FET seminar ""Artificial photosynthesis: From basic principles to technological impact""",EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/615700/en,+,"The next FET seminar “Artificial photosynthesis: From basic principles to technological impact”, organised by DG CONNECT, DG RTD and DG ENER, will focus on presenting how the artificial photosynthesis works."
2018-03-07,Industry & Supply chain,IND,AgriResearch Conference - Innovating for the future of farming and rural communities,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/615671/en,+,"The EU AgriResearch Conference assembled over 500 people scientists, farmers, rural communities, industry, advisors, policy-makers, citizens and NGO representatives who wished to learn about EU agriculture and rural R&amp;I activities and achievements and have their say on how to shape the future of agriculture R&amp;I after 2020. The conference also provided this community multiple occasions to network. NEW! Conference report now available."
2018-04-09,Regulation,REG,"Confused by the difference between communication, dissemination and exploitation for your Horizon 2020 project?",EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/620768/en,+,"IPR Helpdesk has the answer. Read their new publication ""Making the Most of Your Horizon 2020 Project"", written in collaboration with the European Commission."
2018-04-11,Regulation,REG,FET-Open Research and Innovation Actions (RIA): next deadline on 16 May 2018,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/621141/en,+,"Get ready for the next deadline for submission of RIA proposals under the Horizon 2020 Future and Emerging Technologies (FET-Open) programme: an information package with guidelines on proposal preparation, submission procedures and specific criteria for evaluation."
2018-04-27,Regulation,REG,Interactive innovation in action – Multi-Actor projects learning from each other,EC Newsroom — Horizon2020 Environment,https://ec.europa.eu/newsroom/horizon2020/redirection/item/624279/en,+,"The concept of “multi-actor approach”, a practical translation of the interactive innovation, has been introduced for the first time in the Horizon 2020 work programme 2014-2015 under the Societal challenge addressing agriculture and forestry. Since then, over 80 projects have been selected. The European Commission organised a workshop to trigger interaction and exchange of best practices between these projects’ coordinators and produce interesting recommendations for the future."
2018-05-02,Climate & Finance,FIN,Commission proposes biggest ever investment for a R&I programme in Europe,EC Newsroom — Horizon2020 Energy,https://ec.europa.eu/newsroom/horizon2020/redirection/item/625164/en,+,"Today the Commission presented its long-term budget proposal for the 2021-2027 period. Building on the success of the EU's past flagship research and innovation programmes, the Commission proposes to increase investment in research and innovation by allocating €114.8 billion from the future long-term EU budget."
